,symbol,marketCap,priceToBook,profitMargin,revenue,bookToPrice,BookValue,s1,s2,s3
232,HUM,60011818663,4.09,0.047869515273910236,80676914248.0,0.24449877750611249,14672816299.022005,0.18890998935754297,0.2472699064151589,0.0
233,HWM,14901867339,4.25,0.03892958244013295,3339253036.0,0.23529411764705882,3506321726.8235292,0.045143289917866994,0.12087609065930488,0.0
234,IBM,131451454049,6.14,0.0747470150555352,76348710493.0,0.16286644951140067,21409031604.071663,0.2756376042648371,0.29868474081209007,0.0
235,ICE,63882148917,3.13,0.25312975324796433,8687644503.0,0.3194888178913738,20409632241.853035,0.26277050915282096,0.2916299436770188,0.0
236,IDXX,45876745300,64.4,0.24724779300390426,2938331208.0,0.015527950310559004,712371821.4285713,0.009171664829856471,0.05448386277307014,0.0
237,IEX,17202107262,6.75,0.16553703867814404,2468565809.0,0.14814814814814814,2548460335.111111,0.03281098904073715,0.10305129733538591,0.0
238,IFF,36567240605,1.64,0.03158770959351035,6293415204.0,0.6097560975609756,22297097929.878048,0.28707130565780403,0.3048166564500988,0.1450898280843357
239,ILMN,57755322510,11.61,0.18909369685500768,3593088856.0,0.08613264427217916,4974618648.578812,0.06404736056182317,0.14397743132217988,0.0
240,INCY,18428310869,6.87,0.18573779053383244,2749181484.0,0.14556040756914118,2682432440.9024744,0.034535856889109304,0.10572529867198925,0.0
241,INFO,44009781896,5.24,0.1276186524574136,4361756986.0,0.19083969465648853,8398813338.931297,0.1081332789928853,0.18707833196348575,0.0
242,INTC,227160463248,2.86,0.24080771805450985,80244642708.0,0.3496503496503497,79426735401.3986,1.0226055743901528,0.5753046450906395,0.0
243,INTU,116583240321,13.4,0.2356293292317993,7986632698.0,0.07462686567164178,8700241815.0,0.11201411884296879,0.190405805574365,0.0
244,IP,25154389315,3.3,0.04875834861789907,20684692217.0,0.30303030303030304,7622542216.666667,0.09813892164136898,0.17822328467215523,0.0
245,IPG,12926442299,4.58,0.04948331828076687,9211693143.0,0.2183406113537118,2822367314.1921396,0.03633749434473954,0.10844793610598187,0.0
246,IPGP,10976991797,3.96,0.1517920373039432,1344916988.0,0.25252525252525254,2771967625.5050507,0.035688607010537984,0.10747528394884141,0.0
247,IQV,46020367896,7.6,0.03452436761772577,12262780088.0,0.13157894736842105,6055311565.263158,0.07796109622300086,0.15884837312399647,0.0
248,IR,19788658565,2.38,-0.0161052719852629,5486110216.0,0.42016806722689076,8314562422.268908,0.10704856291345642,0.1861376486244782,0.0
249,IRM,12720082223,13.38,0.08088770728909671,4300283499.0,0.07473841554559042,950678790.9566516,0.012239826126224543,0.06294067945977941,0.0
250,ISRG,98001201498,9.8,0.26527214381807185,4768361586.0,0.1020408163265306,10000122601.836733,0.12874986068032615,0.20413486530654032,0.0
251,IT,20159336385,22.19,0.0874859032541156,4390609178.0,0.04506534474988733,908487444.1189724,0.01169661978330743,0.06152816869166028,0.0
252,ITW,74411848321,23.41,0.1792215361469709,13233622467.0,0.042716787697565144,3178635126.9115763,0.04092438123391499,0.11508927746319364,0.0
253,IVZ,12420350747,0.9019,0.1181404046910457,6476666569.0,1.1087703736556158,13771316938.684998,0.1773033399525172,0.23955335688138224,3.6640050490649534
254,J,17792769963,3.07,0.04350968949963262,14341781010.0,0.32573289902280134,5795690541.693811,0.07461852014217385,0.15540576249973087,0.0
255,JBHT,18060309866,6.82,0.0574463523524986,10468092200.0,0.14662756598240467,2648139276.539589,0.03409433828880754,0.10504730999792697,0.0
256,JCI,45380143174,2.68,0.04767724238616961,22277293194.0,0.3731343283582089,16932889244.02985,0.21800804028980744,0.26563179571417833,0.0
257,JKHY,11668760858,8.82,0.17922027100949364,1724923466.0,0.11337868480725623,1322988759.4104307,0.017033253014762537,0.07424934066477112,0.0
258,JNJ,462440457325,6.93,0.1847298035980041,88343571961.0,0.14430014430014432,66730224722.22223,0.8591401803988841,0.5273219119000371,0.0
259,JNPR,8812444004,1.99,0.04784269488772314,4746726499.0,0.5025125628140703,4428363821.105527,0.05701442349360928,0.1358426581911246,0.0
260,JPM,506195407778,2.0,0.30028229672963697,136585214168.0,0.5,253097703889.0,3.258589460516618,1.0269720568952994,0.0
261,K,22785698310,7.5,0.09505233685929565,14429230933.0,0.13333333333333333,3038093108.0,0.039114926882697965,0.11251620200000781,0.0
262,KEY,22353245267,1.49,0.2353913211507811,7361962029.0,0.6711409395973155,15002178031.543625,0.1931504650860906,0.2500297472130013,0.5152222563955503
263,KEYS,25436819471,7.35,0.14920929057554,4405840897.0,0.1360544217687075,3460791764.761905,0.044557099477448,0.1200887318502423,0.0
264,KHC,53524408665,1.06,0.020773731088628986,27557448759.0,0.9433962264150942,50494725155.66037,0.6501109124090692,0.45870928460932103,2.3606695219208342
265,KIM,8920419225,1.59,1.007001306964713,1097496379.0,0.6289308176100629,5610326556.603773,0.07223199067591421,0.15290039053085253,0.2590209059975583
266,KLAC,46522899342,14.94,0.2912194383261507,6757805809.0,0.06693440428380187,3113982553.0120482,0.04009199045096,0.11391282223617762,0.0
267,KMB,44912081135,90.8,0.12103327700513132,19683570782.0,0.011013215859030838,494626444.2180617,0.006368230502512421,0.045399721632019704,0.0
268,KMI,42860238162,1.37,0.1363839183077586,14032679014.0,0.7299270072992701,31284845373.722626,0.4027870100845086,0.3610617898732348,0.8847569460298713
269,KMX,19771536567,4.49,0.04028217548764201,18953613117.0,0.22271714922048996,4403460259.9109125,0.05669379442115554,0.13546015399077058,0.0
270,KO,239588831810,11.75,0.22095121510910148,34853785246.0,0.0851063829787234,20390538877.446808,0.2625246853659437,0.29149350075628455,0.0
271,KR,27821815747,3.02,0.020454764669603363,138469147431.0,0.33112582781456956,9212521770.529802,0.11860963527110453,0.19593128551127365,0.0
272,KSS,9680501937,1.94,-0.010437557681932882,16731703286.0,0.5154639175257733,4989949452.061856,0.06424474202314615,0.14419911582383244,0.0
273,KSU,26886345841,6.39,0.24697443447408376,2657078418.0,0.1564945226917058,4207565859.3114243,0.05417168766412361,0.13241280498334781,0.0
274,L,15409804434,0.8938,-0.002747195478630488,14886651764.0,1.1188185276348175,17240774707.98836,0.2219720127497926,0.2680358670267717,3.7481139034223654
275,LB,19484506203,-29.43,0.07464467884604685,12124335895.0,-0.03397893306150187,-662062732.008155,0.0,0.0,0.0
276,LDOS,14406786263,3.7,0.05858339438299768,12942437944.0,0.27027027027027023,3893726017.0270267,0.050131053606034155,0.12737881925045974,0.0
277,LEG,7455573810,5.2,0.06635580050501812,4427906626.0,0.1923076923076923,1433764194.2307692,0.01845946770910054,0.07729535382626969,0.0
278,LEN,28803231442,1.58,0.1351185952963614,24209278058.0,0.6329113924050632,18229893317.721516,0.23470674493958307,0.27561737230229055,0.2828628203443976
279,LH,26627586720,2.7,0.1747303806384705,15770106285.0,0.37037037037037035,9862069155.555555,0.1269724462742392,0.20272090956251856,0.0
280,LHX,44530049953,2.21,0.07758482485536064,18523565567.0,0.45248868778280543,20149343870.135746,0.2594193410792261,0.28976436728449734,0.0
281,LIN,160144397201,3.36,0.10830468969958665,28125462761.0,0.2976190476190476,47662022976.4881,0.6136403584530308,0.4456570284519296,0.0
282,LKQ,14893961197,2.63,0.0649531897916189,12215966778.0,0.3802281368821293,5663103116.730039,0.07291147982159683,0.15361787708489186,0.0
283,LLY,191287159074,28.18,0.24945678131588453,25652097073.0,0.035486160397444996,6788046808.87154,0.08739493661539932,0.16818487569063903,0.0
284,LMT,108376501679,17.77,0.1069786685762455,68815089585.0,0.056274620146314014,6098846464.772088,0.07852160057576522,0.15941837374642295,0.0
285,LNC,13288240066,0.6964,0.037539543937882044,18713291997.0,1.4359563469270533,19081332662.263065,0.24566888024053812,0.2819803698655294,6.727474418329481
286,LNT,14367387028,2.6,0.18350206579147935,3567668426.0,0.3846153846153846,5525918087.692307,0.07114524613834276,0.1517458231421466,0.0
287,LOW,137251692938,98.2,0.06585342184700455,93058563477.0,0.010183299389002037,1397675080.8350306,0.01799482657350842,0.07631635779058805,0.0
288,LRCX,86938312101,16.24,0.2700747372297773,13664730771.0,0.061576354679802964,5353344341.194582,0.06892338879685546,0.14935752693637055,0.0
